진료년도,상병구분,시도,시군구,성별,환자수,입내원일수,요양급여비용
2018,ADHD, 대전 , 대전서구 , 남 ,888,8019,433800470
2018,ADHD, 대전 , 대전서구 , 여 ,255,2113,116451190
2018,ADHD, 대전 , 대전동구 , 남 ,24,198,9682200
2018,ADHD, 대전 , 대전동구 , 여 ,0,0,0
2018,ADHD, 대전 , 대전중구 , 남 ,299,1666,84571860
2018,ADHD, 대전 , 대전중구 , 여 ,83,620,30101980
2018,ADHD, 울산 , 울산남구 , 남 ,1253,12997,658668870
2018,ADHD, 울산 , 울산남구 , 여 ,369,3543,163525500
2018,ADHD, 울산 , 울산동구 , 남 ,89,545,54907570
2018,ADHD, 울산 , 울산동구 , 여 ,0,0,0
2018,ADHD, 울산 , 울산중구 , 남 ,49,291,20298580
2018,ADHD, 울산 , 울산중구 , 여 ,11,35,2177520
2018,ADHD, 울산 , 울산북구 , 남 ,21,114,5855300
2018,ADHD, 울산 , 울산북구 , 여 ,11,93,6208570
2018,ADHD, 울산 , 울산울주군 , 남 ,0,0,0
2018,ADHD, 울산 , 울산울주군 , 여 ,0,0,0
2018,ADHD, 경기 , 가평군 , 남 ,0,0,0
2018,ADHD, 경기 , 가평군 , 여 ,0,0,0
2018,ADHD, 경기 , 양평군 , 남 ,17,80,3590860
2018,ADHD, 경기 , 양평군 , 여 ,0,0,0
2018,ADHD, 경기 , 연천군 , 남 ,0,0,0
2018,ADHD, 경기 , 연천군 , 여 ,0,0,0
2018,ADHD, 경기 , 광명시 , 남 ,57,429,20668300
2018,ADHD, 경기 , 광명시 , 여 ,10,71,3808830
2018,ADHD, 경기 , 동두천시 , 남 ,42,247,13123260
2018,ADHD, 경기 , 동두천시 , 여 ,21,153,7705120
2018,ADHD, 경기 , 부천시 , 남 ,1065,9309,483148260
2018,ADHD, 경기 , 부천시 , 여 ,281,2487,130661270
2018,ADHD, 경기 , 성남수정구 , 남 ,66,763,51458140
2018,ADHD, 경기 , 성남수정구 , 여 ,25,144,8413960
2018,ADHD, 경기 , 성남중원구 , 남 ,46,462,15361170
2018,ADHD, 경기 , 성남중원구 , 여 ,14,132,4629620
2018,ADHD, 경기 , 성남분당구 , 남 ,1835,14454,803565190
2018,ADHD, 경기 , 성남분당구 , 여 ,495,3617,190820030
2018,ADHD, 경기 , 수원권선구 , 남 ,115,757,34464000
2018,ADHD, 경기 , 수원권선구 , 여 ,13,91,4670500
2018,ADHD, 경기 , 수원장안구 , 남 ,257,2264,118840230
2018,ADHD, 경기 , 수원장안구 , 여 ,76,518,26785100
2018,ADHD, 경기 , 수원팔달구 , 남 ,390,3503,218916560
2018,ADHD, 경기 , 수원팔달구 , 여 ,77,524,36152470
2018,ADHD, 경기 , 수원영통구 , 남 ,1473,10466,572824180
2018,ADHD, 경기 , 수원영통구 , 여 ,388,2740,167160580
2018,ADHD, 경기 , 안양만안구 , 남 ,18,95,6564900
2018,ADHD, 경기 , 안양만안구 , 여 ,11,45,3369590
2018,ADHD, 경기 , 안양동안구 , 남 ,1315,9720,678949120
2018,ADHD, 경기 , 안양동안구 , 여 ,303,2491,174166170
2018,ADHD, 경기 , 의정부시 , 남 ,676,7277,485246670
2018,ADHD, 경기 , 의정부시 , 여 ,148,1442,93048590
2018,ADHD, 경기 , 과천시 , 남 ,13,95,5305820
2018,ADHD, 경기 , 과천시 , 여 ,0,0,0
2018,ADHD, 경기 , 구리시 , 남 ,204,1809,73740120
2018,ADHD, 경기 , 구리시 , 여 ,58,539,24077310
2018,ADHD, 경기 , 안산단원구 , 남 ,535,5792,293341330
2018,ADHD, 경기 , 안산단원구 , 여 ,118,1039,55575720
2018,ADHD, 경기 , 안산상록구 , 남 ,18,68,4350720
2018,ADHD, 경기 , 안산상록구 , 여 ,0,0,0
2018,ADHD, 경기 , 평택시 , 남 ,329,3326,159580130
2018,ADHD, 경기 , 평택시 , 여 ,75,645,36344410
